config_id,source,direction,sessions,active_sessions,positive_sessions,total_pnl,avg_pnl,median_pnl,worst_pnl,max_drawdown,total_trades,total_wins,total_losses,win_rate,stability_score,robustness_score,overfit_verdict,rejection_reason
equity_gap_fade_e0p35_x0p1_tp1p25_sl1p25_h9999_n0p35_m2,equity_gap,fade,5,4,1,-21.176788,-4.235358,-1.782267,-18.990482,21.625378,39,13,26,0.333333,47.476066,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|DRAWDOWN_TOO_LARGE_VS_PNL|LOW_ACTIVE_SESSION_HIT_RATE
equity_gap_momentum_e0p75_x0_tp1p25_sl0p75_h9999_n0p35_m5,equity_gap,momentum,5,4,2,-21.218837,-4.243767,0,-22.485795,30.435265,24,12,12,0.5,47.993312,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|DRAWDOWN_TOO_LARGE_VS_PNL
equity_gap_momentum_e0p75_x0_tp1p25_sl0p75_h9999_n0p35_m8,equity_gap,momentum,5,4,2,-21.218837,-4.243767,0,-22.485795,30.435265,24,12,12,0.5,47.993312,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|DRAWDOWN_TOO_LARGE_VS_PNL
equity_gap_fade_e0p35_x0p1_tp2_sl0p75_h9999_n0p35_m2,equity_gap,fade,5,4,1,-21.222066,-4.244413,-1.782267,-18.327131,20.963809,39,11,28,0.282051,47.339541,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|DRAWDOWN_TOO_LARGE_VS_PNL|LOW_ACTIVE_SESSION_HIT_RATE
equity_gap_momentum_e0p5_x0_tp2_sl0p75_h9999_n0p2_m5,equity_gap,momentum,5,4,1,-21.241848,-4.24837,-2.536544,-16.158651,23.202153,52,22,30,0.423077,46.899124,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|DRAWDOWN_TOO_LARGE_VS_PNL|LOW_ACTIVE_SESSION_HIT_RATE
equity_gap_momentum_e0p5_x0_tp2_sl0p75_h9999_n0p2_m8,equity_gap,momentum,5,4,1,-21.253172,-4.250634,-2.536544,-16.169975,23.202153,53,22,31,0.415094,46.899699,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|DRAWDOWN_TOO_LARGE_VS_PNL|LOW_ACTIVE_SESSION_HIT_RATE
perp_gap_fade_e0p1_x0p1_tp1p25_sl0p75_h9999_n0p2_m2,perp_gap,fade,5,4,0,-21.256343,-4.251269,-1.114321,-15.497965,19.702534,48,19,29,0.395833,46.703942,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|DRAWDOWN_TOO_LARGE_VS_PNL|LOW_ACTIVE_SESSION_HIT_RATE
equity_gap_momentum_e0p75_x0_tp2_sl0p75_h9999_n0p35_m5,equity_gap,momentum,5,4,2,-21.312012,-4.262402,0,-21.79518,30.435265,21,10,11,0.47619,47.886839,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|DRAWDOWN_TOO_LARGE_VS_PNL
equity_gap_momentum_e0p75_x0_tp2_sl0p75_h9999_n0p35_m8,equity_gap,momentum,5,4,2,-21.312012,-4.262402,0,-21.79518,30.435265,21,10,11,0.47619,47.886839,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|DRAWDOWN_TOO_LARGE_VS_PNL
equity_gap_fade_e0p35_x0p1_tp1p25_sl0p75_h9999_n0p35_m2,equity_gap,fade,5,4,1,-21.317572,-4.263514,-1.782267,-18.422637,21.059059,40,12,28,0.3,47.341617,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|DRAWDOWN_TOO_LARGE_VS_PNL|LOW_ACTIVE_SESSION_HIT_RATE
equity_gap_momentum_e0p5_x0_tp0p75_sl1p25_h9999_n0p35_m5,equity_gap,momentum,5,4,1,-21.372105,-4.274421,-1.775546,-19.529025,31.432614,42,18,24,0.428571,47.606867,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|DRAWDOWN_TOO_LARGE_VS_PNL|LOW_ACTIVE_SESSION_HIT_RATE
equity_gap_momentum_e0p5_x0_tp0p75_sl1p25_h9999_n0p35_m8,equity_gap,momentum,5,4,1,-21.372105,-4.274421,-1.775546,-19.529025,31.432614,42,18,24,0.428571,47.606867,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|DRAWDOWN_TOO_LARGE_VS_PNL|LOW_ACTIVE_SESSION_HIT_RATE
equity_gap_momentum_e0p5_x0_tp0p75_sl1p25_h9999_n0p35_m2,equity_gap,momentum,5,4,2,-21.425845,-4.285169,0,-19.901092,26.954257,36,15,21,0.416667,47.606464,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|DRAWDOWN_TOO_LARGE_VS_PNL
equity_gap_fade_e0p35_x0p1_tp1p25_sl1p25_h9999_n0p5_m2,equity_gap,fade,5,4,1,-21.483853,-4.296771,-1.318385,-19.917987,25.522841,30,9,21,0.3,47.609709,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|DRAWDOWN_TOO_LARGE_VS_PNL|LOW_ACTIVE_SESSION_HIT_RATE
equity_gap_fade_e0p35_x0p1_tp1p25_sl1p25_h9999_n0p5_m5,equity_gap,fade,5,4,1,-21.483853,-4.296771,-1.318385,-19.917987,25.522841,30,9,21,0.3,47.609709,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|DRAWDOWN_TOO_LARGE_VS_PNL|LOW_ACTIVE_SESSION_HIT_RATE
equity_gap_fade_e0p35_x0p1_tp1p25_sl1p25_h9999_n0p5_m8,equity_gap,fade,5,4,1,-21.483853,-4.296771,-1.318385,-19.917987,25.522841,30,9,21,0.3,47.609709,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|DRAWDOWN_TOO_LARGE_VS_PNL|LOW_ACTIVE_SESSION_HIT_RATE
equity_gap_fade_e0p35_x0p1_tp2_sl1p25_h9999_n0p5_m2,equity_gap,fade,5,4,1,-21.483853,-4.296771,-1.318385,-19.917987,25.522841,30,9,21,0.3,47.609709,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|DRAWDOWN_TOO_LARGE_VS_PNL|LOW_ACTIVE_SESSION_HIT_RATE
equity_gap_fade_e0p35_x0p1_tp2_sl1p25_h9999_n0p5_m5,equity_gap,fade,5,4,1,-21.483853,-4.296771,-1.318385,-19.917987,25.522841,30,9,21,0.3,47.609709,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|DRAWDOWN_TOO_LARGE_VS_PNL|LOW_ACTIVE_SESSION_HIT_RATE
equity_gap_fade_e0p35_x0p1_tp2_sl1p25_h9999_n0p5_m8,equity_gap,fade,5,4,1,-21.483853,-4.296771,-1.318385,-19.917987,25.522841,30,9,21,0.3,47.609709,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|DRAWDOWN_TOO_LARGE_VS_PNL|LOW_ACTIVE_SESSION_HIT_RATE
equity_gap_momentum_e0p5_x0p1_tp1p25_sl2p5_h9999_n0p2_m8,equity_gap,momentum,5,4,0,-21.61125,-4.32225,-1.209504,-17.043655,23.2921,55,21,34,0.381818,47.007402,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|DRAWDOWN_TOO_LARGE_VS_PNL|LOW_ACTIVE_SESSION_HIT_RATE
equity_gap_momentum_e0p5_x0p1_tp1p25_sl2p5_h9999_n0p2_m5,equity_gap,momentum,5,4,0,-21.615765,-4.323153,-1.214019,-17.043655,23.2921,53,19,34,0.358491,47.006576,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|DRAWDOWN_TOO_LARGE_VS_PNL|LOW_ACTIVE_SESSION_HIT_RATE
perp_gap_fade_e0p2_x0p1_tp2_sl1p25_h9999_n0p35_m5,perp_gap,fade,5,4,1,-21.644044,-4.328809,-1.417636,-20.524327,26.612293,62,28,34,0.451613,47.661842,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|DRAWDOWN_TOO_LARGE_VS_PNL|LOW_ACTIVE_SESSION_HIT_RATE
perp_gap_fade_e0p2_x0p1_tp2_sl1p25_h9999_n0p35_m8,perp_gap,fade,5,4,1,-21.644044,-4.328809,-1.417636,-20.524327,26.612293,62,28,34,0.451613,47.661842,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|DRAWDOWN_TOO_LARGE_VS_PNL|LOW_ACTIVE_SESSION_HIT_RATE
equity_gap_fade_e0p5_x0_tp1p25_sl1p25_h9999_n0p5_m2,equity_gap,fade,5,4,0,-21.676451,-4.33529,-5.536322,-7.9422,14.522931,15,6,9,0.4,43.795446,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|LOW_ACTIVE_SESSION_HIT_RATE
equity_gap_fade_e0p5_x0_tp1p25_sl1p25_h9999_n0p5_m5,equity_gap,fade,5,4,0,-21.676451,-4.33529,-5.536322,-7.9422,14.522931,15,6,9,0.4,43.795446,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|LOW_ACTIVE_SESSION_HIT_RATE
equity_gap_fade_e0p5_x0_tp1p25_sl1p25_h9999_n0p5_m8,equity_gap,fade,5,4,0,-21.676451,-4.33529,-5.536322,-7.9422,14.522931,15,6,9,0.4,43.795446,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|LOW_ACTIVE_SESSION_HIT_RATE
equity_gap_fade_e0p5_x0_tp2_sl1p25_h9999_n0p5_m2,equity_gap,fade,5,4,0,-21.676451,-4.33529,-5.536322,-7.9422,14.522931,15,6,9,0.4,43.795446,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|LOW_ACTIVE_SESSION_HIT_RATE
